Bayern-RB Leipzig,Leverkusen-Hoffenheim,Union Berlin-Stuttgart,Freiburg-Augsburg,Heidenheim-Wolfsburg,Frankfurt-Werder,St Pauli-Dortmund,Mainz-Koeln,Gladbach-Hamburg
Hamburg-St Pauli,Hoffenheim-Frankfurt,RB Leipzig-Heidenheim,Werder-Leverkusen,Stuttgart-Gladbach,Augsburg-Bayern,Wolfsburg-Mainz,Dortmund-Union Berlin,Koeln-Freiburg
Leverkusen-Frankfurt,Union Berlin-Hoffenheim,Heidenheim-Dortmund,Mainz-RB Leipzig,Freiburg-Stuttgart,Wolfsburg-Koeln,Bayern-Hamburg,St Pauli-Augsburg,Gladbach-Werder
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x